is_bad,member_id,loan_status,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,desc,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,revol_util_percent,policy_code,Partition
Yes,M1236516,Charged Off,Aqua Sun Lawn and Landscaping,5 years,RENT,50000,n,,282xx,NC,7.99,1,12/1/98,1,19,NA,3,0,13.9,9,FALSE,0,NA,14%,1,T
No,M0978861,Fully Paid,USDA/FMMA,9 years,RENT,34200,n,,605xx,IL,22.74,2,11/1/71,2,14,45,10,1,80.6,31,FALSE,0,NA,81%,1,T
No,M0767668,Fully Paid,Doublepark LLC,3 years,RENT,30000,n,,331xx,FL,2.36,0,7/1/00,0,72,NA,5,0,11.6,8,FALSE,0,NA,12%,1,T
No,M0879043,Fully Paid,City of Rochester,3 years,MORTGAGE,51000,n,,146xx,NY,11.2,0,5/1/98,1,NA,NA,13,0,0,23,FALSE,0,NA,0%,1,T
No,M0661671,Fully Paid,Roger George Rentals,9 years,RENT,44004,n,,916xx,CA,22.47,0,5/1/02,1,NA,NA,16,0,94.5,32,FALSE,0,NA,94%,1,T
No,M0574970,Fully Paid,Wells Fargo Foothill,2 years,RENT,65500,n,"574970 added on 11/15/09 > Also, the funds would be used for car repairs.",300xx,GA,9.07,0,6/1/01,0,NA,NA,7,0,81,15,FALSE,0,NA,81%,1,T
No,M0804087,Fully Paid,NA,n/a,OWN,33600,n,Reverse mortgage on home Using funds to purchse minivan ask questions &amp; I will answer Please note: The Revolving Credit Balance was paid in full in November 2010. Credit report is not up to date Please note: the Revolving Credit Balance is $0. It was paid in full in Nov. 2010. I have No credit card debt.,544xx,WI,22.5,0,9/1/89,1,NA,NA,5,0,73.9,22,FALSE,0,NA,74%,1,T
No,M0507052,Fully Paid,Boeing Company,2 years,RENT,55000,n,My wife and I are trying to get rid of our high interest credit cards and make paying easier by having one payment. We currently live in the house we plan to buy (we're under contract to buy it in the next 3 years) so we want to get our credit scores up by getting our debt ratio down.  This will help us get a better interest rate on the home loan later on.,981xx,WA,8.51,0,6/1/97,1,28,NA,5,0,94.9,14,FALSE,0,NA,95%,1,T
No,M0726315,Fully Paid,Village of Mt Prospect,10+ years,MORTGAGE,97344,n,"I am currently a Police Sergeant at the Village of Mt. Prospect and have been an Officer there since 1995.  My wife is a stay at home mom and is fortunate enough to have recently started back at work which allows her to work from home.  I haven&rsquo;t included her income since she just started and hasn&rsquo;t received a paycheck as of yet.  Our current home value is approx $210,000...with an outstanding mtg of approx $305,000, however, since we have no plans on moving (lived here for 13yrs) we are hopeful that the market is on the upswing.  Our current credit debt is approx. $600.00/mth .  With this loan it will pay off half of it, bringing our monthly to $564.  I have always had enough income to cover my expenses and my bill are always paid on time.  This loan would simply allow me to focus on one payment and, unlike a credit card, give me a end-term date.  Thank you for your consideration.",601xx,IL,7.58,0,5/1/94,3,38,NA,13,0,80.8,36,FALSE,0,NA,81%,1,T
No,M0782034,Current,Ann Arbor Public Schools,10+ years,MORTGAGE,92000,n,"With this loan, my husband and I will pay a remaining tax bill, purchase the services of a septic tank contractor, purchase an antique piano from a deceased relative's estate and pay for the move, and finally; pay for needed repairs on the family minivan.",481xx,MI,21.65,1,7/1/91,1,12,NA,14,0,79.2,30,FALSE,0,NA,79%,1,T
No,M0765788,Fully Paid,Chili's Restaurant,6 years,RENT,24000,n,"I would like to thank all of those who've invested so far. You have no idea how much this means to me and my family. thank you so much. This loan will help me get my direct sales/network marketing. The loan is going towards office supplies, new computer, video camera, advertising using postcards and mailings, and to form an LLC. Eventually I want to invest in residential short sales and expand into Commercial investing/short-sales.  Thanks again for helping my family and I.",840xx,UT,12.8,0,1/1/03,0,NA,NA,6,0,58.1,9,FALSE,0,NA,58%,1,T
Yes,M0345180,Charged Off,Imhoff Eye Center,1 year,MORTGAGE,47000,n,"I just purchased my first home. Three weeks after I closed on the house, my air conditioner died (and I live in South Georgia).  The only way I could get the new unit was to finance through the company the unit was purchased from and the rate is 19%.  It would really help out to get the rate down to something more manageable.  Thanks.",315xx,GA,13.3,0,9/1/91,1,75,88,8,1,53.9,17,FALSE,0,NA,54%,1,T
Yes,M1002198,Charged Off,HEB,5 years,MORTGAGE,27600,n,I am going to use this loan for home improvements.,782xx,TX,19,0,8/1/06,3,NA,NA,7,0,95,14,FALSE,0,NA,95%,1,T
No,M1215598,Fully Paid,Federal Bureau of Prisons,2 years,RENT,42000,n,,713xx,LA,16.83,0,8/1/03,0,NA,NA,9,0,0,17,FALSE,0,NA,0%,1,T
Yes,M0739417,Charged Off,AFTCT,8 years,MORTGAGE,78600,n,I am looking to consolidate my credit card debt so I can pay it off quicker as well as free up some money for my household.,064xx,CT,15.65,0,11/1/87,1,62,NA,19,0,31.1,35,FALSE,0,NA,31%,1,T
