member_id,loan_status,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,desc,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,revol_util_percent,policy_code
M1400953,Fully Paid,Florida Community Bank,3 years,RENT,30188.4,n,I currently have 4 revolving line that I would like to consolidate becuase of the high interest rate on each of them. I will close 2 of them the Dell and citi financial.This will help me pay to this loan and with the lower interest rate will help me.I have never been out of a job and I always pay my bills but im paying minium to bills that are not taking my debt to income down.Because my lease was recently up and I am now paying lower rent i will be able to control my bills more.I made mistakes when I younger by getting credit cards but Im smarter now and I want to own my own house. Thank you  Borrower added on 11/17/11 > I work for a strong and stable company.My resume speaks for itself with a strong and sucessful back ground the compnay I work for is looking for me to move up its just location is an issue at this point.Dispite the fact that I live very slim on paycheck my bills are a big priority.I am a good borrow because I do not miss my payments I make minimum pay ment if I have to and do not have late payments.,342xx,FL,24.49,0,1/1/2003,1,59,NA,5,0,49.2,16,FALSE,0,NA,49%,1
M1400954,Fully Paid,Crispers,< 1 year,RENT,17500,n,"562334 added on 10/24/09 > I am a student majoring in baking and pastry.  When I'm not taking classes or practicing baking at home I work part-time at a soup and salad restaurant.  My school is giving me only enough financial aid to cover my tuition, but not enough for cost of living.  I'd like to use the loan to consonlidate my credit card debt, since it seems smarter to make payments on a loan with a lower interest rate than on minimum payments to a credit card company.  I believe I make a good borrower because I am stable in my job, and always pay bills before the due date.",321xx,FL,14.13,0,1/1/1994,1,34,NA,14,0,67.5,16,FALSE,0,NA,68%,1
M1400955,Fully Paid,NA,< 1 year,MORTGAGE,55000,n,"This loan will be used to help fund a startup, specifically to aid in the acquisition of IT hardware and to offset training expenses. Loan will be used to help fund an independent consulting startup, specifically in the acquisition of IT hardware and to offset training expenses.",212xx,MD,9.47,0,5/1/1994,1,82,NA,7,0,5,21,FALSE,0,NA,5%,1
M1400956,Fully Paid,Ezee car wash,10+ years,MORTGAGE,49200,n,NA,180xx,PA,5,0,4/1/2001,0,NA,NA,4,0,47.2,6,FALSE,0,NA,47%,1
M1400957,Fully Paid,Hewitt Associates,4 years,OWN,49000,n,NA,064xx,CT,10.21,0,7/1/1999,1,69,NA,8,0,13.7,13,FALSE,0,NA,14%,1
M1400958,Fully Paid,Richmond County Sheriff's Department,1 year,RENT,20400,n,NA,283xx,NC,23.35,0,8/1/2006,0,NA,NA,9,0,17.7,15,FALSE,0,NA,18%,1
M1400959,Fully Paid,NYC Department of Education,2 years,RENT,45530,n,I have been invited to a friends wedding in Ireland which happens to be during my school's winter break. I planned to make a vacation out of it.,112xx,NY,4.56,0,11/1/1997,0,44,NA,7,0,76.1,18,FALSE,0,NA,76%,1
M1400960,Fully Paid,Palmetto Technology Consulting,n/a,RENT,46000,n,Paying of a higher interest credit card.,296xx,SC,16.62,0,10/1/2006,0,NA,NA,4,0,84.5,9,FALSE,0,NA,84%,1
M1400961,Fully Paid,NA,n/a,OWN,38376,n,For pay off Credit Cad and Vacation Have a good retirement but plan on going back to work for five years,735xx,OK,18.07,0,6/1/1979,2,NA,NA,5,0,95.1,16,FALSE,0,NA,95%,1
M1400962,Fully Paid,United Bankers' Bank,8 years,RENT,45000,n,NA,554xx,MN,9.89,0,4/1/2000,0,NA,NA,10,0,65.9,31,FALSE,0,NA,66%,1
M1400963,Fully Paid,pointe Hilton,4 years,MORTGAGE,36000,n,NA,850xx,AZ,12.13,0,5/1/2006,1,NA,NA,4,0,22.3,8,FALSE,0,NA,22%,1
M1400964,Fully Paid,Booz Allen Hamilton,4 years,RENT,104371.43,n,I would like to pay off a few credit cards and close them to consolidate the debt into one payment.  I am looking toward my future of buying a condo and realize I need to consolidate my debt and have them paid off before moving to this step.,222xx,VA,12.97,0,10/1/1996,0,NA,NA,12,0,99.1,15,FALSE,0,NA,99%,1
M1400965,Charged Off,Humand Resources Command,10+ years,RENT,67032,n,NA,223xx,VA,19.51,0,1/1/1996,1,NA,NA,5,0,100,8,FALSE,0,NA,100%,1
M1400966,Charged Off,Logan County Schools,6 years,MORTGAGE,38304,n,NA,255xx,WV,17.98,0,10/1/1997,3,NA,NA,13,0,10.6,19,FALSE,0,NA,11%,1
M1400967,Fully Paid,discount drug mart,2 years,RENT,30000,n,NA,442xx,OH,19.28,0,4/1/2004,6,NA,NA,2,0,5,8,FALSE,0,NA,5%,1
M1400968,Fully Paid,1st Financial Bank,1 year,MORTGAGE,40000,n,i need this loan to pay off a few credit card debts to have a lil extra cash for Christmas Gifts. Please help. Its that time of year again,641xx,MO,6.59,0,7/1/2002,0,67,NA,6,0,47.1,13,FALSE,0,NA,47%,1
M1400969,Fully Paid,Maxim Integrated Products,2 years,OWN,60000,n,NA,951xx,CA,11.2,0,1/1/1998,0,NA,NA,4,0,100,21,FALSE,0,NA,100%,1
M1400970,Fully Paid,Albany Medical Center,3 years,RENT,40000,n,Using to pay down credit cards,121xx,NY,14.88,0,3/1/1992,0,NA,NA,3,0,61.2,14,FALSE,0,NA,61%,1
M1400971,Fully Paid,Mercy San Juan Medical Center,10+ years,MORTGAGE,93000,n,NA,956xx,CA,13.46,0,2/1/1999,2,NA,NA,12,0,97.5,21,FALSE,0,NA,98%,1
M1400972,Charged Off,Pfizer Pharmaceuticals,10+ years,OWN,93000,n,NA,027xx,MA,8.83,0,10/1/1988,6,NA,NA,14,0,20.3,35,FALSE,0,NA,20%,1
M1400973,Fully Paid,Air System Components,2 years,MORTGAGE,62000,n,"I am in need of $5,000 to consolidate all of my credit card debt and eliminate high interest payments.",278xx,NC,12.75,0,12/1/1999,1,NA,NA,8,0,11.1,21,FALSE,0,NA,11%,1
M1400974,Fully Paid,county of ventura,4 years,RENT,50000,n,NA,930xx,CA,22.01,0,10/1/1999,0,NA,NA,9,0,72.6,19,FALSE,0,NA,73%,1
M1400975,Fully Paid,Tops Engineering,< 1 year,RENT,32000,n,I have a couple of credit cards I want to pay off and close the accounts. The APR on this loan would help save me money and ultimately allow me to pay off my balance quicker.,752xx,TX,19.95,0,12/1/2000,0,NA,NA,11,0,35.3,23,FALSE,0,NA,35%,1
M1400976,Charged Off,Bank of America,2 years,RENT,38000,n,In need of this loan to finish our baby's room.,281xx,NC,18.79,0,10/1/2001,1,NA,NA,8,0,83.8,15,FALSE,0,NA,84%,1
M1400977,Current,TSA,4 years,MORTGAGE,92496,n,My washer and dryer need replacing and I plan to accelerate the payoff of this loan.,223xx,VA,20.9,0,1/1/1988,0,NA,NA,14,0,94.1,40,FALSE,0,NA,94%,1
M1400978,Current,Sailor's Union of the Pacific,2 years,MORTGAGE,60000,n,I plan to use the loan for a very urgent medical expenses.  I have a consistent record of on time payments which makes me have a very high credit score.  I intend to pay my loan through automatic deduction from my checking account.,952xx,CA,7.28,0,10/1/1995,1,NA,NA,11,0,19,29,FALSE,0,NA,19%,1
M1400979,Fully Paid,THE PANTRY,5 years,RENT,18000,n,NA,282xx,NC,17,0,7/1/2006,0,NA,NA,9,0,65.3,10,FALSE,0,NA,65%,1
M1400980,Current,NA,10+ years,MORTGAGE,83200,n,I plan on installing a swimming pool for my family. I have a very stable job and make all my payments on time.My credit rating has been recorded as excellent.,064xx,CT,10.21,0,7/1/1991,0,NA,NA,15,0,16.7,29,FALSE,0,NA,17%,1
M1400981,Fully Paid,dawn,2 years,RENT,14400,n,This is a loan to pay  to for something for my boyfriend,941xx,CA,3.17,0,9/1/1993,0,NA,NA,4,0,30.9,10,FALSE,0,NA,31%,1
M1400982,Fully Paid,Nash County Sheriff's Office,9 years,MORTGAGE,56400,n,After purchasing a new home I built a permanent completed building on the rear of the property and made several other home improvements. All done to add value to property and provide necessary space for housing my working Police Canine.,278xx,NC,9.11,0,5/1/1996,3,44,NA,6,0,97.6,25,FALSE,0,NA,98%,1
M1400983,Fully Paid,Military Personnel Services Corp,3 years,RENT,42996,n,"Half of this loan is for an engagement ring for my girlfriend and the balance will be for a few expenses to get me through the next couple months before deploying to Afghanistan, where I will be making more money tax free. I currently work for the Army as a civilian and I am an enlisted soldier.",060xx,CT,16.83,3,11/1/1995,1,8,NA,4,0,5,13,FALSE,0,NA,5%,1
M1400984,Fully Paid,Aurora Multimedia,< 1 year,RENT,18000,n,NA,088xx,NJ,0,0,9/1/2006,2,NA,NA,11,0,NA,11,FALSE,0,NA,NA%,1
M1400985,Fully Paid,Besteway Recycling,< 1 year,MORTGAGE,36500,n,"I am a manager at a recycling center in Pomona CA. I need to purchase a truck to haul some materails that our company trucks cannot haul. the materail is worth cash and I would sell it to my company or to other recyclers. Materail such as Metals, cardboard, office paper, electronics, etc that companies usually throw again and ends up in a landfill. I cannot get regular financing because my credit is not great and banks are really tough on credit right now, but I have a steady job and am responsible on all my debt. I just paid off a 4,000 loan in April from lending club.  Thank you for helping me make this possible in advance.",917xx,CA,22.32,0,1/1/1996,1,58,NA,13,0,100,28,FALSE,0,NA,100%,1
M1400986,Fully Paid,Edward Jones,3 years,MORTGAGE,99108,n,"I will be paying off a 30k credit card debt with the loan. I hope that this will increase my credit score. No My minimum payment is $30 more than this proposed loan payment. I have no problem making it and have never missed a payment. The problem is that my balance never changes. With the new loan I can now pay off the debt. 1. The 127,532 includes my home equity loan for $84k. 2. I've submitted my income statements last week. Thank you for your interest in my new loan. Im a very reliable borrower. My credit is a direct reflection of that. I never miss payments and I'll be using the new loan over the next three years to improve my credit by lowering my risk.",598xx,MT,17.97,0,6/1/1983,0,NA,NA,7,0,81.7,33,FALSE,0,NA,82%,1
M1400987,Fully Paid,standard register,10+ years,MORTGAGE,35000,n,"i plan on using the funds to consolidate my credit cards.i feel i am a good borrower i pay my bills on time.i pay about 2000 or more a mouth on bills its really hard.i have been at my job for 20yrs, i feel i have a pretty stable job.",060xx,CT,6.62,2,6/1/1990,1,19,NA,11,0,9.1,17,FALSE,0,NA,9%,1
M1400988,Charged Off,Bremen School District,< 1 year,RENT,45000,n,"I will be using this money to pay for transportation and car expenses as well as pay for expenses associated with transitioning into my new job position, such as clothing and rental deposit.",604xx,IL,10.72,0,3/1/1999,1,48,NA,27,0,86.1,45,FALSE,0,NA,86%,1
