loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,policy_code,loan_status,Partition
7000,7000, 60 months,7.29%,139.57,A,A4,PitNey Bowes,10+ years,MORTGAGE,99996,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=672300,  Borrower added on 02/11/11 > Motorcycle Purchase<br/> Borrower added on 02/11/11 > Mortorcycle purchase<br/>,car,Major Purchase,068xx,CT,17,0,10/1/78,0,,,18,0,28431,13.3,34,f,1,0,H
10000,10000, 36 months,13.99%,341.73,C,C3,PUBLIC SERVICE ELECTRIC AND GAS,10+ years,MORTGAGE,62000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=876722,,debt_consolidation,DEBT LOAN,088xx,NJ,11.19,2,3/1/96,2,20,77,11,1,6243,45.9,23,f,1,0,H
10500,10500, 36 months,7.88%,328.46,A,A5,Huntington Bank,6 years,MORTGAGE,75000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=532318,"  Borrower added on 06/16/10 > Purchased a 2009 Jayco Camper and put it on the credit card.<br/> Borrower added on 06/23/10 > If it makes things easier my husband has additional income of $55,000  soon to be $60,000 a year.<br/>",debt_consolidation,Camper Loan,452xx,OH,11.92,0,11/1/93,0,,,11,0,49760,21.2,39,f,1,0,H
6000,6000, 36 months,9.63%,192.57,B,B1,,,RENT,22800,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=731866,,debt_consolidation,Debt Consolidation,532xx,WI,26.84,0,12/1/05,5,,,6,0,640,14.9,10,f,1,0,H
2000,2000, 36 months,11.49%,65.95,B,B4,Town Of Truckee,10+ years,MORTGAGE,91200,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=795568,"  Borrower added on 06/23/11 > My fence blew down due to high winds, lowest bid I received was approximately $1500. Need to get it fixed asap, daily high winds in Reno, NV   Thank you<br/>",home_improvement,Repairs,895xx,NV,23.61,0,11/1/82,0,32,,14,0,13203,53.9,32,f,1,0,H
7200,7200, 36 months,6.03%,219.14,A,A1,Cathedral Church of the Intercessor,10+ years,OWN,10080,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=884937,  Borrower added on 09/14/11 > This loan will be used to give myself a new start and help my daughter get her life together! Experiment in owning responsibility.<br/>,other,Other,115xx,NY,7.26,0,8/1/98,0,,,6,0,3115,12.6,11,f,1,0,H
14400,14400, 36 months,7.66%,448.99,A,A5,Minisink Valley Central School,10+ years,OWN,78000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=656074,  Borrower added on 02/06/11 > This loan will be for credit card consolidation.  I have two cards with high interest rates...almost twice your lending rate.  This loan will save me a lot of money over the course of the loan.  Thank you!<br/>,debt_consolidation,American Union,127xx,NY,23.29,0,12/1/91,0,,,8,0,55132,75.3,25,f,1,0,H
12000,12000, 36 months,11.99%,398.52,B,B5,oregon electric,10+ years,MORTGAGE,84000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=765683,  Borrower added on 05/22/11 > I have two credit cards that are over 20% apr.<br/>,credit_card,credit refi,972xx,OR,19,0,2/1/00,2,,,16,0,61365,60.2,34,f,1,0,H
12000,12000, 36 months,7.90%,375.49,A,A4,metropolitan opera,3 years,RENT,150000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=994409,,credit_card,credit card pay off,100xx,NY,4.41,0,1/1/98,0,31,,6,0,15033,32.1,25,f,1,0,H
8000,8000, 36 months,14.42%,275.07,D,D2,Pioneer Nutritional,6 years,RENT,35570,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=379948,"My request is really simple. This loan will consolidate a handful of debts I am already paying regularly without fail. This one loan payment will simply replace all the payments I am currently making on the debts I've chosen to include in this figure. (I have not included a couple as their rates are already great and I'm making fast progress there.) I just want to accelerate my overall pay-off progress a bit by shaving a few more percentage points off interest rates and having a fixed schedule for pay-off. I have done this a couple of times already with terrific success.  Over the past several years, I have turned my financial life around penny by penny. I went from having a very low FICO, twice as much debt and several derogatory credit marks due to an isolated personal hardship, to cleaning up everything through perseverance, sacrifice and hard work. I am incredibly proud of myself and confident in my ability to become debt free in just a few more years!  My partner is self-employed and work is slow right now. We are not in trouble yet, but I want to be proactive about tightening up the ship and not spending money where I don't have to. That includes high interest rates on debt. We are already limiting our spending to necessary items. Rest assured, I am very serious about fulfilling my obligations to lenders. Financial health is my #1 priority. ",debt_consolidation,Consolidating debt & paying it faster!,013xx,MA,24.63,0,1/1/93,2,58,,9,0,8928,62.2,25,f,1,0,H
23100,23100, 36 months,12.29%,770.46,C,C5,Computer Sciences Corporation,1 year,RENT,52000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=299160,"I need help to buy a beachfront cafí© in Fort Lauderdale, Florida. It has been my lifelong dream to own a beachfront restaurant. I finally found the right place and the only thing stopping me is the last bit of financing.  I am a financial analyst and my restaurant manager is a certified master chef and certified by the America Hotel and Restaurant association. Together we can make this happen.  I currently have the business under contract subject to me obtaining the remaining amount. I have already put up a good portion of my own personal savings to reach this goal.  The cafí© is directly across the road from the ocean and serves a variety of foods such as omelettes, pizza, panini, & smoothies. It has been owned by an Italian family who is moving back to Italy and wants to sell to a caring owner. I am the right person and need your help to achieve my dream.",major_purchase,Help Me Buy a Beachfront Cafe in Florida,480xx,MI,17.03,0,2/1/01,11,,,15,0,15455,22.4,21,f,1,0,H
7000,7000, 36 months,9.99%,225.84,B,B1,Tidwell Cancer Treatment Center,3 years,RENT,35350,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=742130,  Borrower added on 05/02/11 > Credit Cards Payoff Loan<br/>,debt_consolidation,credit card,319xx,GA,24.14,0,1/1/03,2,,,4,0,6838,43.8,14,f,1,0,H
3200,3200, 36 months,13.48%,108.56,C,C3,San Diego Unified School District,4 years,RENT,49200,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=501209,,other,Personal,919xx,CA,1.46,0,2/1/98,2,38,,4,0,486,13.9,17,f,1,0,H
10000,10000, 36 months,7.66%,311.8,A,A5,Self Help fo the Elderly,9 years,RENT,38400,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=729006,,major_purchase,Home,941xx,CA,22.25,0,12/1/00,0,,,2,0,0,0,8,f,1,0,H
25000,25000, 36 months,14.61%,861.88,D,D1,Social Security Administration,10+ years,MORTGAGE,102456,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=461552," 576621 added on 11/18/09 > My husband and I both work for the Social Security Administration, I have worked for 35 yrs. as a group supervisor and my husband 10 yrs. as an Admin asst. He is also a retired truck driver with 27 yrs at one company. He also receives a pension from his days as a truck driver, along with his government pay. We are in need of this loan to pay off 2 credit cards with high interest rates. How we came into this debt is from three life changing events.<br/> The first event helped our daughter with tuition to send our grandson to a special high school in Utah that our daughter could not afford, but the school was essential to changing his path in life, we committed to it and remained in our integrity. To say it was very rewarding for the entire family is not doing it justice. <br/>The second event occurred just months later. I was involved in a car accident and was out of work for 6 months. <br/>The third event occurred 1 yr after the accident. I had to have both knees replaced, nothing to do with the car accident, again loosing 5 to 6 months of work because of complications 6 weeks into recoup. <br/>During the second two events I found myself using the credit cards to pay the co-pay for medicine and Dr. visits, food and gas. I was able to pay the minimum each month but then the interest on the cards started to edge up one after the other, I found myself swimming against the tide. A loan will get paid down; credit cards never seem to come down.   <br/>Both my husband and I are good credit risks.  We have never defaulted on our bills.  Our retirement is coming up fast and we would like to get these credit cards paid off before we retire.  Please help us.<br/>",credit_card,We need to dig ourselves out.  Can you help?,191xx,PA,17.76,1,6/1/85,0,20,,13,0,25478,65.3,30,f,1,0,H
4800,4800, 60 months,10.36%,102.84,B,B5,carolina health care,< 1 year,MORTGAGE,51000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=633120,  Borrower added on 12/14/10 > looking to get a loan for daughters car and a few other things<br/> Borrower added on 12/16/10 > Just letting you know the loan will be payed back fairly fast. I am currently an engineer with the hospital and was a construction superintendent before then. Before that I was in the Army and have served three tours in Iraq. So I have a high dedication to my obligations. Thank you<br/> Borrower added on 12/22/10 > Just want to thank everyone for making this happen<br/>,car,Richard's loan,281xx,NC,7.55,1,7/1/91,1,17,,6,0,15632,83.6,32,f,1,0,H
13200,13200, 60 months,13.49%,303.67,C,C1,Alliance Defense Fund,2 years,RENT,42996,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1028829,,other,Business Start Up,852xx,AZ,4.63,0,9/1/07,0,,,5,0,4051,17.2,5,f,1,0,H
23850,23850, 60 months,19.03%,619.08,E,E2,HNS Management/CT Transit,10+ years,RENT,48000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=973415,,debt_consolidation,Debt Consolidation Loan,064xx,CT,21.23,0,1/1/90,0,,,3,0,20158,84,15,f,1,0,H
1500,1500, 36 months,10.36%,48.66,B,B5,Comcast,5 years,MORTGAGE,40000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=622658,  Borrower added on 11/27/10 > This loan will be used to go towards the family vacation to Florida<br/>,vacation,Family Vacation,232xx,VA,20.82,0,6/1/96,1,,63,5,1,425,85,17,f,1,0,H
13000,13000, 36 months,10.99%,425.56,B,B4,Marwaha group Inc,1 year,RENT,47000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=449448,,wedding,wedding expense,917xx,CA,4.75,0,2/1/06,0,,,5,0,6620,18.4,7,f,1,0,H
6500,6500, 36 months,5.79%,197.13,A,A2,SERVPRO of Wheaton/Glen Ellyn,5 years,RENT,50000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=657220,,wedding,buying engagement ring,601xx,IL,10.58,0,6/1/85,3,,,5,0,1556,21.6,6,f,1,0,H
